"File","Namespace","Type","Name","MemberType","MemberName"
"IntakeValidationTests.cs","Imhotep.Macs.Tests.Plugins","Class","TestPolicyEvaluator","Method","AuthorizeAsync"
"IntakeValidationTests.cs","Imhotep.Macs.Tests.Plugins","Class","TestPolicyEvaluator","Method","VAL002_EncryptionVerification_CjisCompliance_EnforcedViaStaticAnalysis"
"IntakeValidationTests.cs","Imhotep.Macs.Tests.Plugins","Class","TestPolicyEvaluator","Method","VAL004_PiiScanning_PartyWithDOB_TriggersMaskingNotification"
"IPayloadParser.cs","Imhotep.Specification.Parsing","Interface","IPayloadParser","",""
"IReadinessEvaluator.cs","Imhotep.Specification.Evaluation","Interface","IReadinessEvaluator","",""
"IResponseDispatcher.cs","Imhotep.Specification.Feedback","Interface","IResponseDispatcher","",""
"ISemanticModelService.cs","Imhotep.SemanticModel.Services","Interface","ISemanticModelService","",""
"ISemanticNormalizer.cs","Imhotep.Specification.Normalization","Interface","ISemanticNormalizer","",""
"ISpecificationIntake.cs","Imhotep.Specification.Intake","Interface","ISpecificationIntake","",""
"IToolRegistry.cs","Imhotep.ToolGateway.Core","Interface","IToolRegistry","",""
"IValidationPlugin.cs","Imhotep.Tools.Abstractions","Interface","for","",""
"IValidationPlugin.cs","Imhotep.Tools.Abstractions","Interface","IValidationPlugin","",""
"MarkdownSTPParser.cs","Imhotep.Specification.Parsing","Class","MarkdownSTPParser","Method","EnforceSecurityBoundaries"
"MarkdownSTPParser.cs","Imhotep.Specification.Parsing","Class","MarkdownSTPParser","Method","ExtractContextAssembly"
"MarkdownSTPParser.cs","Imhotep.Specification.Parsing","Class","MarkdownSTPParser","Method","ParseAgentRoles"
"MarkdownSTPParser.cs","Imhotep.Specification.Parsing","Class","MarkdownSTPParser","Method","ParseAsync"
"PlanningEngine.cs","Imhotep.Planning.Services","Class","PlanningEngine","Method","AdaptTaskGraphForImpactAsync"
"PlanningEngine.cs","Imhotep.Planning.Services","Class","PlanningEngine","Method","GenerateDataEntityTasks"
"PlanningEngine.cs","Imhotep.Planning.Services","Class","PlanningEngine","Method","GenerateInfrastructureTasks"
"PlanningEngine.cs","Imhotep.Planning.Services","Class","PlanningEngine","Method","GenerateServiceImplementationTasks"
"PlanningEngine.cs","Imhotep.Planning.Services","Class","PlanningEngine","Method","GenerateTaskGraphAsync"
"PlanningEngine.cs","Imhotep.Planning.Services","Class","PlanningEngine","Method","GenerateVerificationTasks"
"PlanningEngine.cs","Imhotep.Planning.Services","Class","PlanningEngine","Method","ResolveDependencies"
"PlanningEngine.cs","Imhotep.Planning.Services","Interface","IPlanningEngine","",""
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","PlatformSecurityService","Method","EvaluateForPromptInjection"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","PlatformSecurityService","Method","GetSecretAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","PlatformSecurityService","Method","RotateSecretAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","PlatformSecurityService","Method","SanitizeModelInteractionAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","PlatformSecurityService","Method","ScanSupplyChainDependenciesAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","PlatformSecurityService","Method","VerifyIdentityAccessAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","PlatformSecurityService","Method","VerifySecretAccessRights"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","SecretManagementService","Method","EvaluateForPromptInjection"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","SecretManagementService","Method","GetSecretAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","SecretManagementService","Method","RotateSecretAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","SecretManagementService","Method","SanitizeModelInteractionAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","SecretManagementService","Method","ScanSupplyChainDependenciesAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","SecretManagementService","Method","VerifyIdentityAccessAsync"
"PlatformSecurityService.cs","Imhotep.Security.Services","Class","SecretManagementService","Method","VerifySecretAccessRights"
"PlatformSecurityService.cs","Imhotep.Security.Services","Interface","IPlatformSecurityService","",""
"PlatformSecurityService.cs","Imhotep.Security.Services","Interface","ISecretManagementService","",""
"PlatformSecurityService.cs","Imhotep.Security.Services","Interface","with","",""
"ReadinessEvaluator.cs","Imhotep.Specification.Evaluation","Class","ReadinessEvaluator","Method","EvaluateAsync"
"RepairAnalyst.cs","Imhotep.Agents.Analysis","Class","RepairAnalyst","Method","FormatPriorArtifacts"
"RepairAnalyst.cs","Imhotep.Agents.Analysis","Class","RepairAnalyst","Method","GenerateEscalationPayload"
"ResponseDispatcher.cs","Imhotep.Specification.Feedback","Class","HumanMachineEscalationException","Method","DispatchAsync"
"ResponseDispatcher.cs","Imhotep.Specification.Feedback","Class","ResponseDispatcher","Method","DispatchAsync"
"SchemaTranslator.cs","Imhotep.Macs.ContestAssembly","Class","SchemaTranslator","Method","GenerateDataEntityMarkdown"
"SchemaValidationPlugin.cs","Imhotep.ToolGateway.Plugins","Class","SchemaValidationPlugin","Method","ExecuteValidationAsync"
"SchemaValidationPlugin.cs","Imhotep.ToolGateway.Plugins","Class","SchemaValidationPlugin","Method","SimulateExternalSchemaCheck"
"SecurityModels.cs","Imhotep.Security.Models","Enum","SecurityDomain","",""
"SemanticKernelAgentOrchestrator.cs","Imhotep.Agents.Orchestration","Class","SemanticKernelAgentOrchestrator","Method","BuildStructuredTransactionPayload"
"SemanticKernelAgentOrchestrator.cs","Imhotep.Agents.Orchestration","Class","SemanticKernelAgentOrchestrator","Method","CleanModelOutput"
"SemanticKernelAgentOrchestrator.cs","Imhotep.Agents.Orchestration","Class","SemanticKernelAgentOrchestrator","Method","DetermineAgentRole"
"SemanticKernelAgentOrchestrator.cs","Imhotep.Agents.Orchestration","Class","SemanticKernelAgentOrchestrator","Method","EvaluateOutputContract"
"SemanticKernelModelGateway.cs","Imhotep.ModelGateway.Providers","Class","SemanticKernelModelGateway","Method","NormalizeResponse"
"SemanticModelService.cs","Imhotep.SemanticModel.Services","Class","SemanticModelService","Method","StoreModelAsync"
"SemanticNormalizer.cs","Imhotep.Specification.Normalization","Class","SemanticNormalizer","Method","BuildTraceabilityGraph"
"SemanticNormalizer.cs","Imhotep.Specification.Normalization","Class","SemanticNormalizer","Method","NormalizeAsync"
"SemanticNormalizer.cs","Imhotep.Specification.Normalization","Class","SemanticNormalizer","Method","ParseProject"
"ServiceCollectionExtensions.cs","Global","Class","ImhotepServiceCollectionExtensions","Method","AddImhotepExecutionRuntime"
"ServiceHostBuilder.cs","Imhotep.ExecutionService","Class","ServiceHostBuilder","Method","ConfigureSemanticKernel"
"ServiceHostBuilder.cs","Imhotep.ExecutionService","Class","ServiceHostBuilder","Method","CreateHostBuilder"
"StateAndMemoryService.cs","Imhotep.Common.Services","Class","StateAndMemoryService","Method","CreateVersionSnapshotAsync"
"StateAndMemoryService.cs","Imhotep.Common.Services","Class","StateAndMemoryService","Method","GetTaskMemoryHistoryAsync"
"StateAndMemoryService.cs","Imhotep.Common.Services","Class","StateAndMemoryService","Method","RecordMemoryEventAsync"
"StateAndMemoryService.cs","Imhotep.Common.Services","Class","StateAndMemoryService","Method","RestoreFromSnapshotAsync"
"StateAndMemoryService.cs","Imhotep.Common.Services","Class","StateAndMemoryService","Method","UpdateStateAsync"
"StateAndMemoryService.cs","Imhotep.Common.Services","Interface","IStateAndMemoryService","",""
"TelemetryContracts.cs","Imhotep.Observability.Models","Interface","ITelemetryEvent","",""
"TelemetryIngestionService.cs","Imhotep.TelemetryService.Core","Class","TelemetryIngestionService","Method","GetTelemetryStream"
"TelemetryIngestionService.cs","Imhotep.TelemetryService.Core","Class","TelemetryIngestionService","Method","RecordEvent"
"TelemetryServices.cs","Imhotep.Observability.Services","Class","TelemetryService","Method","EvaluateForAnomalies"
"TelemetryServices.cs","Imhotep.Observability.Services","Class","TelemetryService","Method","GetTelemetryStream"
"TelemetryServices.cs","Imhotep.Observability.Services","Class","TelemetryService","Method","RecordEvent"
"TelemetryServices.cs","Imhotep.Observability.Services","Interface","ITelemetryService","",""
"ToolGateway.cs","Imhotep.Tools.Gateway","Interface","IToolGateway","",""
"TraceabilityContracts.cs","Imhotep.Traceability.Models","Enum","NodeType","",""
"TraceabilityContracts.cs","Imhotep.Traceability.Models","Enum","RelationshipType","",""
"TraceabilityService.cs","Imhotep.Traceability.Services","Class","TraceabilityService","Method","CreateEdgeAsync"
"TraceabilityService.cs","Imhotep.Traceability.Services","Class","TraceabilityService","Method","GetDownstreamArtifactsAsync"
"TraceabilityService.cs","Imhotep.Traceability.Services","Class","TraceabilityService","Method","GetUpstreamSpecificationsAsync"
"TraceabilityService.cs","Imhotep.Traceability.Services","Class","TraceabilityService","Method","PerformImpactAnalysisAsync"
"TraceabilityService.cs","Imhotep.Traceability.Services","Class","TraceabilityService","Method","RegisterNodeAsync"
"TraceabilityService.cs","Imhotep.Traceability.Services","Interface","ITraceabilityService","",""
"WatchowerMonitor.cs","Imhotep.TelemetryService.Monitoring","Class","WatchtowerMonitor","Method","AnalyzeRecentTelemetry"
"Worker.cs","Imhotep.ExecutionService","Class","Worker","Method","Worker"
